location_id,short_name,lead_hours,value_old,value_new,absolute_difference,tolerance,within_tolerance
binh_dinh_grid_016,2t,192,297.2495422363281,297.2496643066406,0.0001220703125,0.001,True
binh_dinh_grid_010,sp,192,99471.1953125,99471.140625,0.0546875,0.2,True
binh_dinh_grid_011,sp,192,99530.1953125,99530.265625,0.0703125,0.2,True
binh_dinh_grid_013,sp,192,97294.7578125,97294.765625,0.0078125,0.2,True
binh_dinh_grid_014,sp,192,99662.2578125,99662.265625,0.0078125,0.2,True
binh_dinh_grid_016,sp,192,97161.8828125,97161.890625,0.0078125,0.2,True
binh_dinh_grid_010,tcc,192,97.29224395751953,97.29220581054688,3.814697265625e-05,0.005,True
binh_dinh_grid_011,tcc,192,85.51782989501953,85.51779174804688,3.814697265625e-05,0.005,True
binh_dinh_grid_013,tcc,192,99.98755645751953,99.98751831054688,3.814697265625e-05,0.005,True
binh_dinh_grid_014,tcc,192,99.59888458251953,99.59884643554688,3.814697265625e-05,0.005,True
binh_dinh_grid_016,tcc,192,99.99829864501953,99.99826049804688,3.814697265625e-05,0.005,True
binh_dinh_grid_010,ssr,192,100871320.0,100871320.0,0.0,2048.0,True
binh_dinh_grid_011,ssr,192,129135768.0,129135768.0,0.0,2048.0,True
binh_dinh_grid_013,ssr,192,105079960.0,105079960.0,0.0,2048.0,True
binh_dinh_grid_014,ssr,192,136661144.0,136661144.0,0.0,2048.0,True
binh_dinh_grid_016,ssr,192,112902296.0,112902296.0,0.0,2048.0,True
binh_dinh_grid_010,tp,192,21.327218055725098,21.32721996307373,1.9073486328125e-06,0.0001,True
binh_dinh_grid_011,tp,192,17.685120582580566,17.6851224899292,1.9073486328125e-06,0.0001,True
binh_dinh_grid_013,tp,192,27.54855251312256,27.548548698425293,3.814697265625e-06,0.0001,True
binh_dinh_grid_014,tp,192,17.531668663024902,17.531672477722168,3.814697265625e-06,0.0001,True
binh_dinh_grid_016,tp,192,31.10530185699463,31.10530376434326,1.9073486328125e-06,0.0001,True
binh_dinh_grid_010,10u,198,5.564232349395752,5.564193487167358,3.886222839355469e-05,0.001,True
binh_dinh_grid_011,10u,198,7.217674732208252,7.217757940292358,8.320808410644531e-05,0.001,True
binh_dinh_grid_013,10u,198,5.818626880645752,5.818588018417358,3.886222839355469e-05,0.001,True
binh_dinh_grid_014,10u,198,10.164452075958252,10.164535284042358,8.320808410644531e-05,0.001,True
binh_dinh_grid_016,10u,198,6.002830982208252,6.002914190292358,8.320808410644531e-05,0.001,True
binh_dinh_grid_010,10v,198,3.4742442667484283,3.4742442667484283,0.0,0.001,True
binh_dinh_grid_011,10v,198,2.2591563761234283,2.2591563761234283,0.0,0.001,True
